MRN,Patient Name,NRIC/Passport No,Age,Gender,Address,Postcode,Latitude,Longitude,Race,Religion,Payor,Nationality,Patient Type
MRN1073,Patrick Nolan,399898604723,68,Male,"777 Christopher Brooks
Rebeccaside, MN 87905",70000,2.7258,101.9331,Chinese,Islam,Cash,Non-Malaysian,Outpatient
MRN1074,Kathryn Bell,889900718228,48,Male,"22561 Amber Knolls
Port David, WI 75411",60000,3.1412,101.6874,Chinese,Buddhism,Cash,Non-Malaysian,Inpatient
MRN1075,Jessica Zamora,159102308455,84,Female,"584 Tina Crest
East Joelville, WY 61223",53000,3.2015,101.6446,Chinese,Buddhism,Government,Malaysian,Outpatient
MRN1076,Ronald Grant,460159830602,22,Female,"7183 David Forks Apt. 611
Abigailstad, RI 85515",80000,1.4927,103.7414,Others,Hinduism,Cash,Malaysian,Emergency
MRN1077,Jordan Hunter,308878589923,58,Male,"48171 Lisa Glens Suite 428
Lake Amyfurt, DE 73718",53000,3.2015,101.6446,Others,Christianity,Government,Non-Malaysian,Inpatient
MRN1078,Tracy Smith,540823288915,40,Female,"12916 Lawrence Drive
East Kimberly, OR 76352",53000,3.2015,101.6446,Others,Hinduism,Government,Non-Malaysian,Outpatient
MRN1079,Heather Rosales,445846490213,35,Male,"33680 Rebecca Junction
Lake Sallyfort, IN 39627",70000,2.7258,101.9331,Others,Christianity,Insurance,Malaysian,Emergency
MRN1080,Robin Mullins,383643543033,69,Male,"2850 Fuller Oval
Grayville, OR 80374",60000,3.1412,101.6874,Malay,Buddhism,Insurance,Non-Malaysian,Emergency
MRN1081,Brian Cruz,882581860081,56,Female,"5603 Robinson Trace Apt. 829
West Allisonshire, NE 62244",80000,1.4927,103.7414,Chinese,Christianity,Cash,Non-Malaysian,Outpatient
MRN1082,Michael Bush,793371000378,69,Male,"5474 Braun Crest Suite 196
South Carlbury, AK 18751",50000,3.139,101.6869,Indian,Buddhism,Government,Malaysian,Outpatient
MRN1083,John Branch,529518757229,71,Female,"1634 Allen Lake
New Robertmouth, NY 55314",70000,2.7258,101.9331,Malay,Islam,Insurance,Non-Malaysian,Emergency
MRN1084,Gabriel Gonzales,566142186089,25,Male,"1758 Megan Stream
North Christopher, UT 60307",60000,3.1412,101.6874,Others,Buddhism,Insurance,Malaysian,Emergency
MRN1085,Tamara Hernandez MD,371530585596,25,Male,"179 Richardson Isle
North Sylvia, AK 63225",53000,3.2015,101.6446,Malay,Buddhism,Cash,Malaysian,Outpatient
MRN1086,Tiffany Nelson,397739578653,41,Female,"98543 Brett Lane Suite 582
Weaverside, TX 66724",60000,3.1412,101.6874,Others,Christianity,Cash,Non-Malaysian,Inpatient
MRN1087,Shane Lowery,637868549761,25,Male,"67766 Newman Expressway
Acostamouth, DC 71794",70000,2.7258,101.9331,Others,Islam,Government,Non-Malaysian,Outpatient
MRN1088,John Chang,322368913054,26,Female,"885 Mcdowell Knolls
West Coreybury, TX 75562",60000,3.1412,101.6874,Malay,Christianity,Insurance,Non-Malaysian,Emergency
MRN1089,Melanie Greer,452520804164,65,Male,"37588 Snyder Squares Apt. 078
Kingside, NV 33586",80000,1.4927,103.7414,Indian,Christianity,Government,Non-Malaysian,Emergency
MRN1090,Stephanie Kelley,145504456475,31,Male,"20934 Michael Drive
East Grant, UT 15224",50000,3.139,101.6869,Indian,Islam,Government,Non-Malaysian,Outpatient
MRN1091,Allison Thomas,409674139337,44,Female,"360 Jeremy Pike Suite 606
North Brittanyborough, CO 52783",60000,3.1412,101.6874,Malay,Hinduism,Government,Non-Malaysian,Outpatient
MRN1092,Elizabeth Ryan,417796435682,40,Male,"8532 Miller Crest
Gomezfurt, AK 15945",53000,3.2015,101.6446,Others,Hinduism,Cash,Malaysian,Emergency
MRN1093,Christian Powell,148772608732,64,Female,"834 Melissa Run Suite 137
New Derrickport, KY 93931",53000,3.2015,101.6446,Others,Christianity,Insurance,Non-Malaysian,Inpatient
MRN1094,Jennifer Simmons,976648807075,50,Male,"PSC 0293, Box 3222
APO AE 08088",80000,1.4927,103.7414,Indian,Hinduism,Government,Malaysian,Emergency
MRN1095,Christine Johnson,759615141639,75,Female,"390 Brennan Plaza
Lake Joshua, MT 95025",80000,1.4927,103.7414,Malay,Christianity,Government,Malaysian,Inpatient
MRN1096,Rebecca Cruz,896721021838,75,Female,"97338 Kristine Squares Suite 039
Susanmouth, NE 71655",70000,2.7258,101.9331,Chinese,Buddhism,Government,Non-Malaysian,Emergency
MRN1097,Kristin Pena,744069033585,53,Male,"Unit 1742 Box 7791
DPO AP 12164",60000,3.1412,101.6874,Malay,Christianity,Cash,Non-Malaysian,Inpatient
MRN1098,Dr. Amy Foster DDS,698068468898,65,Male,"982 John Skyway
Sheaborough, KY 43445",50000,3.139,101.6869,Others,Christianity,Insurance,Non-Malaysian,Outpatient
MRN1099,Mary Marsh,264433736677,73,Female,"286 Hays Heights
Connieland, LA 58463",53000,3.2015,101.6446,Indian,Hinduism,Cash,Non-Malaysian,Inpatient
